question,answer
WERS:, World-Wide Engineering Release System
What-If:, A study that evaluates various marketing and product alternatives and/or line rate/volume changes.
WIPS:, Worldwide Integrated Purchasing Systems
+/(-)  :, Compares the Purchased Part Capacity to the Average Production weekly and indicates an excess or shortage on the part.
% Delinquent :, % of parts for which a Supplier has not a check in the complete box.
Operating Days to Produce APPC:,Number of operating days per week to achieve the APPC entered in the APPC column (including tenths of a day Ex:4.9).
Operating Days to Produce MPPC:,Number of operating days per week to achieve the MPPC entered in the APPC column (including tenths of a day Ex:4.9).
What is PPC?:,Purchase part capacity.
Where to find Glosarry?:,Glossary will be available in Manufacturing Capacity Planning Volumes screen
what is the difference between PPC & Capacity Study:,Capacity study is opened for supplier response whenever there is a new program/Launch/facelift or increase in demand arrives. Whereas PPC update is basically updating the latest capacity based on CAR report quaterly once.
What is Manufacturing Capacity Planning Volumes?:,"Manufacturing Capacity Planning Volumes is one of the division under material planning and logistics,the prime response is to ensure the supplier capacity availability for the existing and upcoming program through PPC update & capacity study update."
What is capital cost?:,The cost or inverstment that needs to be inversted from supplier end in order to increse the existing capacity
What is Packaging Cost?:,The cost or inverstment that needs to be inversted from ford end for the packaging purpose
What is PSW Phase 3 CAR Verification?:,"The capacity of the existing production line if it is verified or if the phase 3 production is attained, it is called as PSW phase 3 CAR verification."
What is CAR report?:,"CAR report is capacity analyse report that is verified and analysed by SITE STA. It is done when PPAP is sgined off  & later part, supplier capcity is verified based on the CAR update."
:,
